id_cliente;id_estandar;nombre_cliente;debe;haber;deudor;acreedor;activo;pasivo;perdida;ganancia;;
11013137;1.01.01.00;BANCO ITAU COSTANERA CENTER;111093676;111093676;0;0;0;0;0;0;0;0
11013138;1.01.01.00;BANCO ITAU VALDIVIA;35298544;35298544;0;0;0;0;0;0;0;0
11013139;1.01.01.00;BANCO ITAU ALTO LAS CONDES;6141905;6141905;0;0;0;0;0;0;0;0
11013140;1.01.01.00;BANCO SANTANDER RRHH;6769462211;6768592517;869694;0;869694;0;0;0;0;869694
11013141;1.01.01.00;BANCO ITAU SAC;20118919;20118919;0;0;0;0;0;0;0;0
11013201;1.01.01.00;BANCO CRÉDITO E INVERSIONES DÓLAR;1,33911E+11;1,33911E+11;417741;0;417741;0;0;0;0;417741
11013202;1.01.01.00;BANCO SANTANDER DÓLAR;16421595229;16259633448;161961781;0;161961781;0;0;0;0;161961781
11013203;1.01.01.00;BANCO SCOTIABANK AZUL DÓLAR;33598;19036;14562;0;14562;0;0;0;0;14562
11013204;1.01.01.00;BANCO INTER DÓLARES;1799511;1019609;779902;0;779902;0;0;0;0;779902
11013206;1.01.01.00;BANCO CHILE DÓLAR;1060976;601152;459824;0;459824;0;0;0;0;459824
11013211;1.01.01.00;BANCO ITAU / CORP DÓLAR;4826039645;4823662400;2377245;0;2377245;0;0;0;0;2377245
11013301;1.01.05.00;FONDOS MUTUOS;6542460536;6542460536;0;0;0;0;0;0;0;0
11021002;1.01.05.00;REMESAS EN TRÁNSITO;13498373641;13444941800;53431841;0;53431841;0;0;0;0;53431841
11021003;1.01.05.00;ACCIONES CHILECTRA S.A.;117051754;78402017;38649737;0;38649737;0;0;0;0;38649737
11021005;1.01.07.00;NOMINAS PROVEEDORES NACIONALES;1400534;;1400534;0;1400534;0;0;0;0;1400534
11031001;1.01.20.00;DEUDORES POR VENTA;30340819174;30010608060;330211114;0;330211114;0;0;0;0;330211114
11031002;1.01.20.00;DEUDORES POR VENTA EERR;510391;510391;0;0;0;0;0;0;0;0
11031003;1.01.40.00;DEUDORES CREDITO CLP;88596714;80377913;8218801;0;8218801;0;0;0;0;8218801
11031008;1.01.99.00;DETERIORO DEUDORES INCOBRABLES ACUMULADO;204115151;264034977;0;59919826;0;59919826;0;0;0;0
11031009;1.01.25.00;VALES TIENDAS;46260232;47969192;0;1708960;0;1708960;0;0;0;-1708960
11031010;1.01.25.00;DEUDORES CORNERSHOP;7932202;7808302;123900;0;123900;0;0;0;0;123900
11041001;1.01.25.00;CHEQUES EN TRANSITO;1988067575;1622292215;365775360;0;365775360;0;0;0;0;365775360
11041002;1.01.25.00;CHEQUES EN CARTERA PESOS;213890017;213890017;0;0;0;0;0;0;0;0
11041005;1.01.25.00;CHEQUES PROTESTADOS;23049133;23049133;0;0;0;0;0;0;0;0
11041006;1.01.25.00;CHEQUES EN COBRANZA PREJUDICIAL;8186943;8186943;0;0;0;0;0;0;0;0
11041007;1.01.99.00;DETERIORO CHEQUES INCOBRABLES ACUMULADO;61155580;121155580;0;60000000;0;60000000;0;0;0;0
11042101;1.01.99.00;TARJETAS DE DEBITO TRANSBANK;6633538878;3091144578;3542394300;0;3542394300;0;0;0;0;3542394300
11042102;1.01.99.00;TARJETAS DE CRÉDITO TRANSBANK;12317225693;3018443531;9298782162;0;9298782162;0;0;0;0;9298782162
11042105;1.01.99.00;ABONOS POR ASIGNAR;5490928537;17358520317;0;11867591780;0;11867591780;0;0;0;-11867591780
11042106;1.01.99.00;TARJETAS DE CRÉDITO WEB PAY;840688421;1497356;839191065;0;839191065;0;0;0;0;839191065
11042109;1.01.99.00;TARJETAS DE DEBITO WEB;2944021194;2910932029;33089165;0;33089165;0;0;0;0;33089165
11042111;1.01.99.00;MERCADOPAGO;52990;;52990;0;52990;0;0;0;0;52990
11043002;1.01.99.00;PAGARÉS POR COBRAR;105431989;98699252;6732737;0;6732737;0;0;0;0;6732737
11044001;1.01.99.00;DETERIORO PAGARÉS INCOBRABLES ACUMULADO;101208706;3000000;98208706;0;98208706;0;0;0;0;0
11044004;1.03.24.00;ANTICIPOS DE REMUNERACIONES;3000000;101208706;0;98208706;0;98208706;0;0;0;-98208706
11051001;1.03.24.00;ANTICIPOS DE HONORARIOS;768026;768026;0;0;0;0;0;0;0;0
11051002;1.03.24.00;PRÉSTAMOS AL PERSONAL;4667100928;4084893521;582207407;0;582207407;0;0;0;0;582207407
11051003;1.01.30.00;OTROS DOCUMENTOS POR COBRAR;672885514;667694806;5190708;0;5190708;0;0;0;0;5190708
11052001;1.03.25.00;ANTICIPO A PROVEEDORES NACIONALES;23900610;23432330;468280;0;468280;0;0;0;0;468280
11052002;1.01.99.00;FONDOS A RENDIR CLP;2770299;2295700;474599;0;474599;0;0;0;0;474599
11052003;1.01.99.00;FONDOS AGENCIAS DE ADUANAS;134446267;132180422;2265845;0;2265845;0;0;0;0;2265845
11053001;1.01.99.00;FONDOS A RENDIR USD;303845238;85827057;218018181;0;218018181;0;0;0;0;218018181
11053002;1.03.25.00;ANTICIPO A PROVEEDORES EXTRANJEROS;157410324;173671374;0;16261050;0;16261050;0;0;0;-16261050
11054004;1.03.45.00;DOCUMENTOS EN GARANTIA;14495812;14495812;0;0;0;0;0;0;0;0
11054006;1.03.45.00;RESP.POR BOLETA DE GARANTIA;41646000;41646000;0;0;0;0;0;0;0;0
11071101;1.01.40.00;CTA CTE MONETARIA POR COBRAR AMIQQ;1522312860;1522312860;0;0;0;0;0;0;0;0
11071102;1.01.40.00;CTA CTE MONETARIA POR COBRAR FMSA;1750351;1750351;0;0;0;0;0;0;0;0
11071103;1.01.40.00;CTA CTE MONETARIA POR COBRAR AM-PERU;677018878;1085603584;0;408584706;0;408584706;0;0;0;-408584706
